"","Character_Name","Description","Notes","Killed_By","Killed"
"173","The Bloody Baron","Slytherin House ghost","Suitor of Helena Ravenclaw before killing her in a fit of blind rage, then commits suicide in remorse.",NA,0
"174","Bogrod","Head goblin at Gringotts Wizarding Bank","Put under the Imperius curse when Harry, Ron, and Hermione break into Gringotts.",NA,0
"175","Buckbeak","Hippogriff belonging at various times to Hagrid, Sirius Black and Harry Potter","C",NA,0
"176","Sir Cadogan","Armored and somewhat mad knight occupying a painting in Hogwarts","",NA,0
"177","Crookshanks","Intelligent cat belonging to Hermione Granger","D",NA,0
"178","Dobby","House-elf originally belonging to the Malfoy family until he is set free by Harry in Chamber of Secrets, killed by Bellatrix Lestrange in Harry Potter and the Deathly Hallows","E","Bellatrix Lestrange",1
"179","Errol","Owl belonging to the Weasley family","F",NA,0
"180","Fang","Hagrid's pet boarhound","",NA,0
"181","The Fat Friar","Hufflepuff House ghost","",NA,0
"182","The Fat Lady","Witch in the painting concealing the entrance to the Gryffindor common room","",NA,0
"183","Fawkes","Phoenix belonging to Albus Dumbledore","Saved Harry Potter from the Basilisk inside the Chamber of Secrets.",NA,0
"184","Firenze","Centaur and substitute Divination professor at Hogwarts during Harry's fifth year","",NA,0
"185","Fluffy","Three-headed dog belonging to Hagrid and protector of the Philosopher's Stone","G",NA,0
"186","Gornuk","Gringotts goblin who goes on the run from Death Eaters in Deathly Hallows along with fellow goblin Griphook, plus Dean Thomas, Ted Tonks, and Dirk Cresswell","",NA,0
"187","Grawp","Giant and Hagrid's half-brother","",NA,0
"188","Griphook","Gringotts Bank goblin who helps Harry and his friends steal Helga Hufflepuff's cup from within the Lestrange vault","H",NA,0
"189","Hedwig","Harry Potter's pet owl","Killed during the Battle of the Seven Potters.","General Death",1
"190","Hokey","House-elf belonging to Hepzibah Smith","K",NA,0
"191","Kreacher","House-elf belonging to the Black family and later Harry Potter","Though at first preferring to serve the pureblood line (including Regulus Black, Narcissa Malfoy, Bellatrix Lestrange, and Draco Malfoy), he eventually prefers serving under Harry as he treats him better.L",NA,0
"192","Leanne","Friend of Katie Bell and a member of Dumbledore's Army","Along with Harry, Ron, and Hermione, she is present when Katie touches a cursed necklace intended to be given to Dumbledore.M",NA,0
"193","Magorian","A centaur","",NA,0
"194","Great Aunt Muriel","The Weasley children's great-aunt","Matyelok Gibbs appears as Muriel in Harry Potter and the Deathly Hallows – Part 1, but during the film she is never identified.[35]",NA,0
"195","Nagini","Lord Voldemort's massive pet snake that does his bidding","She is one of Voldemort's Horcruxes who is ultimately slain by Neville Longbottom during the Battle of Hogwarts.","General Death",1
"196","Nearly Headless Nick","Gryffindor house ghost","Full name is Sir Nicholas de Mimsy-Porpington.",NA,0
"197","Norbert","A baby dragon illegally owned by Hagrid who is relocated to a reserve in Romania by friends of Ron's older brother Charlie Weasley","P",NA,0
"198","Peeves","Hogwarts poltergeist, a mischievous magical being","",NA,0
"199","Pigwidgeon","A tiny mischievous owl belonging to Ron Weasley","Called ""Pig"" for short.R",NA,0
"200","Madam Rosmerta","Proprietor of The Three Broomsticks inn in Hogsmeade village","Julie Christie appeared as Madam Rosmerta in the film adaptation of Harry Potter and the Prisoner of Azkaban.",NA,0
"201","Ronan","A centaur living in the Forbidden Forest","S",NA,0
"202","Scabbers","Ron Weasley's pet rat in the first three stories who is revealed to be a wizard in animal form: Peter Pettigrew","",NA,0
"203","Scabior","Snatcher who captures Harry, Ron and Hermione in Deathly Hallows","",NA,0
"204","Hepzibah Smith","an extremely wealthy, well-born old witch who enjoyed collecting antiques and collectibles; introduced within Dumbledore's Pensieve","T",NA,0
"205","Travers","Wizard and Death Eater who escapes from Azkaban after Lord Voldemort's return","",NA,0
"206","Trevor","Neville Longbottom's perpetually-misplaced pet toad","W",NA,0
"207","The Weird Sisters","a wizarding rock band","They performed three songs (all composed by Cocker): ""Do the Hippogriff"", ""This Is the Night"" and ""Magic Works"".[37] A full music video of the band playing at the Yule Ball is included as an extended scene on the Goblet of Fire DVD. In 2005, Warner Bros., the international distributor of Goblet of Fire, was sued for trademark violations by members of a Canadian band named the Wyrd Sisters.[38][39] In the Goblet of Fire film, the band was played by the following musicians:Jarvis Cocker (of Pulp) as Myron Wagtail – vocals",NA,0
"208","Jonny Greenwood (of Radiohead) as Kirley Duke","lead guitar","",NA,0
"209","Jason Buckle (of All Seeing I) as Heathcote Barbary","rhythm guitar","",NA,0
"210","Steve Mackey (of Pulp) as Donaghan Tremlett","bass","",NA,0
"211","Steven Claydon (of Add N to (X)) as Gideon Crumb","keyboards and bagpipes","",NA,0
